lapNo,No,gap,time,,,,,,,,,,,,
6,30,13.999,1:12.482,,,,,,,,,,,,
6,9,14.714,1:12.549,,,,,,,,,,,,
6,21,16.442,1:13.836,,,,,,,,,,,,
6,19,16.482,1:13.339,,,,,,,,,,,,
6,12,17.531,1:12.948,,,,,,,,,,,,
6,88,19.432,1:13.027,,,,,,,,,,,,
7,44,0,1:11.250,,,,,,,,,,,,
7,7,3.564,1:11.540,,,,,,,,,,,,
7,22,4.598,1:12.960,,,,,,,,,,,,
7,6,5.122,1:11.681,,,,,,,,,,,,
7,33,5.696,1:11.638,,,,,,,,,,,,
7,5,7.188,1:11.637,,,,,,,,,,,,
7,3,7.963,1:11.998,,,,,,,,,,,,
7,27,9.280,1:13.968,,,,,,,,,,,,
7,77,10.638,1:12.750,,,,,,,,,,,,
7,55,11.157,1:12.875,,,,,,,,,,,,
7,11,12.176,1:13.098,,,,,,,,,,,,
7,94,12.725,1:12.742,,,,,,,,,,,,
7,14,13.217,1:12.693,,,,,,,,,,,,
7,8,14.138,1:12.735,,,,,,,,,,,,
7,20,14.677,1:12.808,,,,,,,,,,,,
7,30,15.682,1:12.933,,,,,,,,,,,,
7,9,16.418,1:12.954,,,,,,,,,,,,
7,19,18.493,1:13.261,,,,,,,,,,,,
7,21,19.230,1:14.038,,,,,,,,,,,,
7,12,19.614,1:13.333,,,,,,,,,,,,
7,88,21.439,1:13.257,,,,,,,,,,,,
8,44,0,1:11.180,,,,,,,,,,,,
8,7,3.804,1:11.420,,,,,,,,,,,,
8,6,6.017,1:12.075,,,,,,,,,,,,
8,22,6.735,1:13.317,,,,,,,,,,,,
8,33,6.929,1:12.413,,,,,,,,,,,,
8,5,7.977,1:11.969,,,,,,,,,,,,
8,3,8.653,1:11.870,,,,,,,,,,,,
8,77,12.444,1:12.986,,,,,,,,,,,,
8,55,12.946,1:12.969,,,,,,,,,,,,
8,11,14.153,1:13.157,,,,,,,,,,,,
8,27,PIT,1:16.326,,,,,,,,,,,,
8,94,15.087,1:13.542,,,,,,,,,,,,
8,8,16.289,1:13.331,,,,,,,,,,,,
